IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
354850;SP;SANTOS;5123437;SANDRA HELENA PEREIRA;SANDRA HELENA PEREIRA;;;M;AVENIDA AFONSO CELSO DE PAULA LIMA;23;PONTA DA PRAIA;11030460;-23.98890;-46.30653
354850;SP;SANTOS;5134129;MARCELA CASTRO MARTINS RIBEIRO;MARCELA CASTRO MARTINS RIBEIRO;;;M;AVENIDA DONA ANA COSTA;222;VILA MATHIAS;11060003;-23.95007;-46.33078
354850;SP;SANTOS;5235502;CRISTIANE BARRETO BARBIERI;CRISTIANE BARRETO BARBIERI;;;M;AVENIDA AFONSO PENA;170;BOQUEIRAO;11020000;-23.95792;-46.32188
354850;SP;SANTOS;5298431;VERENA TUBEL VAZ DE ALMEIDA;VERENA TUBEL VAZ DE ALMEIDA;;;M;AVENIDA MARECHAL FLORIANO PEIXOTO;278;POMPEIA;11060302;-23.96693;-46.33881
354850;SP;SANTOS;5298458;MEDICAL LINE;MEDICAL LINE ATENDIMENTO MEDICO PRE HOSPITALAR LTDA;02690889000101;;M;RUA JOAQUIM TAVORA;252;VILA MATHIAS;11075300;-23.94874;-46.33524
354850;SP;SANTOS;5460700;VALDETE MARIA SZABO ALVES;VALDETE MARIA SZABO ALVES;;;M;RUA ADHEMAR DE FIGUEIREDO LIRA;43;CENTRO;11013175;-23.93769;-46.32382
354850;SP;SANTOS;5461340;ORAL DESIGN;CLINICA ODONTOLOGICA DR AMAURY ALCANTARA DR SERGIO ECHIGO;05307667000155;;M;AVENIDA CONSELHEIRO NEBIAS;688;BOQUEIRAO;11045002;-23.94581;-46.32172
354850;SP;SANTOS;5142768;VITALE FISIOTERAPIA LTDA;VITALE FIDIOTERAPIA LTDA;08169967000103;;M;RUA DOUTOR GUEDES COELHO;210;ENCRUZILHADA;11050230;-23.95395;-46.32880
354850;SP;SANTOS;5142857;FISIOMED FISIOTERAPIA;FISIOMED SANTOS FISIOTERAPIA LTDA;08251826000135;;M;RUA SAO PAULO;41;VILA BELMIRO;11065100;-23.95197;-46.33964
354850;SP;SANTOS;5140080;BOCCATO VERCESI LTDA;BOCCATO VERCESI LTDA;01912844000171;;M;AVENIDA DONA ANA COSTA;254;GONZAGA;11060001;-23.94517;-46.33019
354850;SP;SANTOS;5140145;ANDRE LUIS ALVES DE LEMOS;ANDRE LUIS ALVES DE LEMOS;;;M;RUA SAO JOSE;38;EMBARE;11040200;-23.96575;-46.31611
354850;SP;SANTOS;5245273;JOSE LUIZ CAMARGO BARBOSA FILHO;JOSE LUIZ CAMARGO BARBOSA FILHO;;;M;RUA CARLOS GOMES;17;CAMPO GRANDE;11075670;-23.96303;-46.33758
354850;SP;SANTOS;5245842;MATTOS E DINATO;MATTOS E DINATO SERVICOS MEDICOS S S LTDA;08571354000106;;M;AVENIDA DONA ANA COSTA;155;GONZAGA;11060001;-23.94980;-46.33067
354850;SP;SANTOS;5245850;ORLANDO DE CASTRO MINGOLELLI;ORLANDO DE CASTRO MINGOLELLI;;;M;AVENIDA DOUTOR PEDRO LESSA;2706;EMBARE;11025002;-23.96684;-46.31542
354850;SP;SANTOS;3916154;GISELE THEREZINHA SILVA MARTINS NOBREGA;GISELLE THEREZINHA SILVA MARTINS NOBREGA;;;M;AVENIDA DOUTOR BERNARDINO DE CAMPOS;562;CAMPO GRANDE;11065002;-23.95828;-46.33779
354850;SP;SANTOS;5106400;JOSE SALES GALVAO FILHO;JOSE SALES GALVAO FILHO;;;M;AVENIDA DOUTOR BERNARDINO DE CAMPOS;232;VILA BELMIRO;11065000;-23.95828;-46.33779
354850;SP;SANTOS;5108489;MOURA RIBEIRO NEUROLOGIA LTDA;MOURA RIBEIRO NEUROLOGIA LTDA;08100910000158;;M;RUA GOVERNADOR PEDRO DE TOLEDO;101;BOQUEIRAO;11045551;-23.97025;-46.32496
354850;SP;SANTOS;5110289;ELIANA MARTINS DE FREITAS;ELIANA MARTINS DE FREITAS;;;M;RUA SERGIPE;08;GONZAGA;11060420;-23.96186;-46.33707
354850;SP;SANTOS;5110327;MARIA ANGELICA BETTI DA SILVA RUME;MARIA ANGELICA BETTI DA SILVA RUME;;;M;RUA SERGIPE;08;GONZAGA;11060420;-23.96186;-46.33707
354850;SP;SANTOS;5110351;MARIA CELIA CUNHA CIACCIA;MARIA CELIA CUNHA CIACCIA;;;M;AVENIDA CONSELHEIRO NEBIAS;730;BOQUEIRAO;11045003;-23.94581;-46.32172
354850;SP;SANTOS;5085160;SANDRA LIA RODRIGUES FRANCO;SANDRA LIA RODRIGUES FRANCO;;;M;AVENIDA ALMIRANTE COCHANE;194;EMBARE;11040003;-23.97201;-46.31072
354850;SP;SANTOS;5085217;REGINA MUGLIA DE MARCHI;REGINA MUGLIA DE MARCHI;;;M;AVENIDA DOUTOR BERNARDINO DE CAMPOS;52;VILA BELMIRO;11065002;-23.95684;-46.33786
354850;SP;SANTOS;5859174;CLINICA MEDICA DOUTOR RUBENS GARRIDO CIA LTDA;CLINICA MEDICA DOUTOR RUBENS GARRIDO CIA LTDA;08733709000108;;M;AVENIDA WASHINGTON LUIZ;18;VILA MATHIAS;11050200;-23.95699;-46.32628
354850;SP;SANTOS;5859182;ALCEU SOARES DOS SANTOS;ALCEU SOARES DOS SANTOS;;;M;AVENIDA DONA ANA COSTA;259;ENCRUZILHADA;11060904;-23.94517;-46.33019
354850;SP;SANTOS;5784034;SAO CAMILO AMBULANCIAS;TANIA SENTINI DE CASTRO ME;07014594000139;;M;RUA DONA LUIZA MACUCO;150;VILA MATHIAS;11015060;-23.94571;-46.32328
354850;SP;SANTOS;5407796;SECAO DE CONTROLE DE VAGAS HOSPITALARES;MUNICIPIO DE SANTOS;;58200015000183;M;RUA BARAO DE PARANAPIACABA;241;ENCRUZILHADA;11050251;-23.95663;-46.33150
354850;SP;SANTOS;5183405;GAPSE GRUPO DE ATENDIMENTO EM P S E EMERGENCIA LTDA;GAPSE GRUPO DE ATENDIMENTO EM P S E EMERGENCIA LTDA;07585824000110;;M;AVENIDA SAO FRANCISCO;261;CENTRO;11013203;-23.93719;-46.32722
354850;SP;SANTOS;5166942;IZILDA D ASCENCAO VARANDAS CHAVES D AGRELLA;IZILDA D ASCENCAO VARANDAS CHAVES D AGRELLA;;;M;RUA DOUTOR LINCOLN FELICIANO;117;BOQUEIRAO;11045560;-23.96935;-46.32855
354850;SP;SANTOS;5064910;UNIPSICO COOP TRABALHO DOS PSICOLOGOS DA BAIXADA SANTISTA;UNIPSICO COOP TRABALHO DOS PSICOLOGOS DA BAIXADA SANTISTA;03712610000106;;M;RUA DOUTOR LUIZ DE FARIA;52;GONZAGA;11060480;-23.96282;-46.33393
